timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1519733906385903,-1,-2,0,-1,0,-2,1,-2
1519733906385903,-1,1,0,2,2,0,-1,-1
1519733906400943,-2,-2,0,1,2,1,0,1
1519733906400943,0,1,0,-1,0,1,0,2
1519733906408977,-1,0,-2,-1,-2,-1,-1,0
1519733906408977,-2,0,-2,-1,0,-2,0,1
1519733906424004,-2,0,-1,-2,0,-1,-1,-2
1519733906424004,0,-1,-2,-2,-3,-1,-1,0
1519733906431023,-2,-1,-2,0,3,1,0,-3
1519733906431023,-1,0,-1,-4,-3,0,-2,0
1519733906439044,0,-2,0,1,-1,-1,-1,-2
1519733906439044,-2,-2,0,0,-2,-2,-2,-1
1519733906446063,-1,-2,-1,-2,-4,-3,-4,-1
1519733906446063,1,-2,-3,-1,-1,0,0,-3
1519733906461103,0,-1,0,0,2,-2,-2,-2
1519733906461103,1,-1,-1,-2,1,0,2,0
1519733906468123,-1,-2,-1,-2,-4,0,0,0
1519733906468123,0,0,-1,-1,-2,-2,0,-1
1519733906487173,-1,0,-1,1,-1,0,-1,-1
1519733906487173,-2,0,-1,-3,-7,-2,-1,0
1519733906491183,-1,0,0,-2,0,-1,1,1
1519733906491183,-2,-1,-1,0,2,2,0,0
1519733906499204,0,-1,1,0,-2,1,0,0
1519733906499204,-3,-2,-1,-2,-2,-2,-1,-1
1519733906506224,-1,-1,0,-1,-2,-1,-1,-1
1519733906506224,-1,-1,0,0,-1,-1,-2,-2
1519733906521263,0,-1,0,-1,-2,1,1,1
1519733906521263,-1,-3,-2,-1,-2,-1,-1,0
1519733906528281,0,0,-1,-1,-1,-2,-2,-2
1519733906528281,-1,-1,-1,-1,0,0,-1,-2
1519733906551343,-3,-1,-1,0,0,-1,-2,-2
1519733906551343,-1,-1,1,-3,-2,0,1,-1
1519733906573401,-2,0,-3,-1,-1,-4,-2,-1
1519733906573401,0,-2,-2,1,-2,-1,-1,-2
1519733906581423,0,-2,0,1,-1,-1,-1,-2
1519733906581423,-1,-1,-1,2,0,-4,-2,1
1519733906596463,-2,0,-3,-1,0,0,-1,-2
1519733906596463,-1,-1,-1,-2,0,-1,0,-2
1519733906603484,0,0,-2,-2,0,-1,-2,-1
1519733906603484,-2,-2,-3,-1,-1,0,-2,-1
1519733906610500,-2,0,0,-2,-1,3,2,2
1519733906610500,-2,-1,0,2,2,0,1,0
1519733906618521,-1,1,1,-1,-2,-1,-2,-1
1519733906618521,2,1,1,-2,2,0,0,0
1519733906625540,3,0,1,-2,0,0,0,0
1519733906625540,1,0,0,-3,-2,-1,-2,-3
1519733906640580,1,0,0,-1,0,3,0,0
1519733906640580,-1,0,-1,-2,-1,2,0,0
1519733906648601,0,-2,1,-1,-3,-3,-2,1
1519733906648601,-2,-2,-1,-1,-3,-1,-1,0
1519733906663641,-2,-1,-2,1,0,1,0,-2
1519733906663641,0,0,0,0,0,0,0,0
1519733906678681,-1,0,-2,0,0,0,0,-2
1519733906678681,-2,-2,-2,-3,-2,-1,-2,-2
1519733906685700,1,1,-2,-1,-1,-2,-2,0
1519733906685700,-2,0,-1,-3,-1,0,0,-2
1519733906700740,-2,-1,-1,0,-1,-1,-1,1
1519733906700740,0,-1,-1,0,1,-1,0,-2
1519733906708761,0,-3,-1,-1,0,0,-1,0
1519733906708761,-2,-1,0,-2,0,-1,0,-1
1519733906723801,-1,-1,-2,0,-3,-4,-1,-1
1519733906723801,-1,-2,0,-1,-1,-1,-2,0
1519733906730820,-1,0,0,1,0,-1,0,0
1519733906730820,0,-1,0,0,-1,1,-1,0
1519733906738841,-1,-2,-1,-1,1,0,0,-1
1519733906738841,-1,1,0,0,0,0,0,-1
1519733906745860,-1,0,-2,-2,-4,-2,-1,-2
1519733906745860,0,-3,0,0,1,-1,0,0
1519733906760900,-3,-2,0,-3,-2,1,-1,-1
1519733906760900,0,-2,-2,0,-1,0,0,1
1519733906768921,-2,-1,-1,-1,0,-2,-3,-2
1519733906768921,-1,1,0,-1,-1,0,0,0
1519733906783961,0,-2,-2,-2,-1,-2,-1,0
1519733906783961,0,-2,0,-1,0,0,2,0
1519733906790980,-1,-2,-3,-2,0,-2,1,0
1519733906790980,0,-1,-1,0,1,-2,0,-1
1519733906799001,1,-1,-1,-1,-2,0,-3,-1
1519733906799001,-2,-1,-1,0,0,0,-1,-1
1519733906806020,-2,-1,0,1,0,1,-2,-1
1519733906806020,-1,0,-1,-1,-1,-1,-2,-1
1519733906821060,-1,-2,1,-1,-2,-1,-1,-1
1519733906821060,-1,0,-1,-1,-1,-1,-1,0
1519733906828079,1,0,-1,1,-2,-1,0,0
1519733906828079,0,-1,-1,0,-1,-1,-4,-3
1519733906843118,-1,0,-1,0,-2,-2,-1,0
1519733906843118,-2,-2,-2,-2,-2,-3,-2,-4
1519733906851140,-3,-4,-1,0,-3,-3,-2,-2
1519733906851140,-3,-3,-3,0,-2,-2,-2,-3
1519733906858159,-2,-3,-1,0,1,0,2,0
1519733906858159,-2,-3,-1,-3,-2,-3,-2,0
1519733906866180,-2,-2,0,-2,1,-2,0,-3
1519733906866180,-2,-1,-3,-2,-4,-1,-1,0
1519733906882223,-2,-2,-1,1,0,-2,-2,-2
1519733906882223,-2,-1,-1,0,-2,0,1,-1
1519733906888238,0,0,-2,0,-2,-1,0,-1
1519733906888238,-2,-1,-2,-2,-1,-1,2,-1
1519733906903279,-1,1,-1,-3,-2,0,-1,-2
1519733906903279,1,0,-3,-1,-1,-1,-1,0
1519733906911300,-1,-1,-1,-1,-2,-2,0,0
1519733906911300,-1,-2,-1,-1,-2,-1,-1,-2
1519733906918331,-1,-1,-1,1,-1,-3,-1,-2
1519733906918331,-2,-1,0,0,0,-2,1,-2
1519733906926340,-2,-2,0,-1,0,1,-1,-1
1519733906926340,0,0,-1,-1,-1,0,0,-1
1519733906933359,-2,-2,0,-1,0,1,-1,-1
1519733906933359,0,0,-1,-1,-1,0,0,-1
1519733906942383,0,-2,-1,-1,-1,-1,-2,-2
1519733906942383,-2,-1,-2,0,-1,0,-1,0
1519733906948399,-2,0,-1,0,1,-1,-1,-2
1519733906948399,-2,-1,-2,-2,-4,-2,-2,1
1519733906963448,-2,0,-1,-2,-1,0,0,0
1519733906963448,0,-1,1,-1,-1,-2,-4,-2
1519733906971460,0,0,-1,0,0,-1,-1,0
1519733906971460,-2,-2,-1,-2,-1,-2,-2,-1
1519733906978478,-2,1,-1,1,0,-3,-1,-1
1519733906978478,0,-1,0,-1,-2,-1,1,-2
1519733906985503,-1,0,-2,-3,-3,-1,-2,-1
1519733906985503,1,1,0,0,1,1,-1,0
1519733907008559,1,-1,-1,-2,0,-1,-1,0
1519733907008559,-1,-1,-3,-1,0,0,-1,1
1519733907015588,-2,-2,-1,0,1,-1,-1,-1
1519733907015588,-2,-2,-2,0,-1,-1,-1,-2
1519733907030626,-3,-1,0,-1,-1,0,-2,-1
1519733907030626,0,-2,-1,-3,0,0,0,-2
1519733907038648,0,-2,-2,0,1,-1,0,-1
1519733907038648,-1,-1,-1,-1,-1,0,0,0
1519733907045657,-1,-1,-1,0,-1,-1,-1,-1
1519733907045657,-2,1,0,0,-1,-3,-4,-1
1519733907053678,-1,-1,1,-1,-1,-1,-2,-2
1519733907053678,-1,-1,0,-1,-1,-2,-2,-1
1519733907060697,-1,-2,0,-2,0,-1,-2,-3
1519733907060697,0,-1,-2,0,-1,-2,0,-1
1519733907068719,0,-1,-3,-1,0,0,-2,-2
1519733907068719,-2,0,-2,1,1,0,-1,-1
1519733907083758,0,-2,-1,-3,-1,-2,-2,0
1519733907083758,-1,-1,-2,0,-2,-1,0,-1
1519733907090777,-1,0,-1,-1,-1,0,2,-1
1519733907090777,0,-3,-1,-1,0,-1,0,-1
1519733907098799,0,0,-1,0,-1,0,-1,-1
1519733907098799,-1,1,0,-2,1,0,-1,-1
1519733907105817,-2,-2,-1,-1,-2,-1,-1,-1
1519733907105817,-1,-1,-2,0,-3,0,-2,0
1519733907120857,-1,-2,-2,0,0,-1,0,0
1519733907120857,-1,-3,-1,0,-1,-2,-3,-1
1519733907128881,1,-1,0,-1,0,-2,-2,-1
1519733907128881,1,0,-1,-1,0,0,0,0
1519733907143919,-1,-2,-1,-1,-3,0,-2,-2
1519733907143919,-2,0,-2,0,0,1,-1,-2
1519733907150951,-1,-2,-2,-1,0,-1,0,-2
1519733907150951,0,0,1,-1,-2,-3,-2,-1
1519733907158958,1,1,-1,0,-1,-1,1,-1
1519733907158958,-1,-1,-1,0,-1,0,0,0
1519733907165977,-1,-1,-2,0,-1,-1,-1,1
1519733907165977,-2,-2,0,-2,0,-1,-2,0
1519733907181017,-1,-3,0,-1,-1,-1,-1,0
1519733907181017,0,-1,-1,-2,1,-1,1,-2
1519733907188035,-2,-2,-1,0,-1,-1,0,0
1519733907188035,0,-1,-1,0,-2,1,2,-1
1519733907204092,0,-2,-2,-2,-1,-2,0,-2
1519733907204092,0,-1,0,1,0,0,-1,0
1519733907211101,-3,-2,-1,-2,0,1,0,-2
1519733907211101,-1,0,-1,-2,-3,-3,-2,-2
1519733907218116,-1,-1,-3,-2,-1,0,-1,0
1519733907218116,-1,-2,0,-2,-1,-3,0,0
1519733907226137,-1,-1,0,-1,-2,-1,-2,-1
1519733907226137,0,-1,-2,0,0,-1,1,0
1519733907241177,-2,-2,-2,-1,-1,-1,-2,-1
1519733907241177,-2,-1,-1,0,0,1,-1,-2
1519733907248197,-2,0,1,0,0,0,-2,1
1519733907248197,0,-1,-1,-2,0,-1,1,0
1519733907263249,0,0,-2,-1,-2,-1,1,-1
1519733907263249,-2,-1,-1,0,-4,0,-1,0
1519733907271257,-1,-3,0,0,-2,-1,-1,-1
1519733907271257,-2,-1,-1,0,-1,1,-1,-1
1519733907278276,0,1,0,-1,1,-1,1,-2
1519733907278276,-2,-2,-2,-2,0,-1,0,2
1519733907286297,1,-1,-2,-2,-3,0,-1,0
1519733907286297,-2,-1,0,0,-2,-3,-2,-2
1519733907301338,-2,-1,-1,-1,-1,-1,0,-2
1519733907301338,-2,-2,-1,0,-1,0,-1,-1
1519733907308362,-1,-1,-2,1,-2,0,0,0
1519733907308362,0,-1,-1,-2,0,0,-1,-3
1519733907323396,-1,-2,-1,-1,-1,1,-3,1
1519733907323396,-1,0,0,-2,0,-1,-2,-1
1519733907331417,1,-3,-3,-1,-2,-4,-2,0
1519733907331417,0,0,-1,0,-1,-1,-2,-2
1519733907338435,-1,-1,1,-1,-1,-3,-1,0
1519733907338435,-3,-2,0,-1,-1,-1,-2,0
1519733907346459,0,0,-1,-1,0,-1,0,-1
1519733907346459,-2,-2,-1,0,-1,0,-1,0
1519733907361497,-3,1,0,0,-1,-2,-1,-1
1519733907361497,1,-1,-1,-1,-2,-2,0,-1
1519733907368515,1,-1,0,-1,0,0,0,-1
1519733907368515,0,0,-2,-2,-2,-2,-1,-1
1519733907383556,0,0,-2,-1,0,2,0,0
1519733907383556,0,0,-1,-1,-2,-2,-1,-2
1519733907398606,-2,0,-1,0,-1,-1,-1,0
1519733907398606,-1,-1,0,-2,0,1,-1,-1
1519733907405614,-2,-1,0,-1,-1,0,-2,0
1519733907405614,0,1,-1,0,1,-2,-1,0
1519733907420654,0,-1,-1,-1,0,-2,-1,0
1519733907420654,0,-3,-1,-1,-1,-2,-1,0
1519733907435694,-2,-1,0,-2,-4,-3,-1,-3
1519733907435694,-2,-1,-2,-1,-1,-1,-1,1
1519733907443716,0,-2,-1,-1,-3,-3,-2,-3
1519733907443716,1,-2,0,-1,-3,1,0,-1
1519733907458756,-2,1,-1,-1,-1,-2,-1,0
1519733907458756,-1,-1,-1,0,0,-2,0,-3
1519733907465775,-1,-1,-1,-1,1,1,1,-1
1519733907465775,-1,0,-1,0,0,0,0,-2
1519733907480814,-1,0,0,-2,-1,-2,-1,2
1519733907480814,-1,-2,-1,-1,0,-2,-2,-2
1519733907495854,-2,-3,-1,-1,0,-1,0,-2
1519733907495854,1,-1,-1,-3,-1,-1,-1,-1
1519733907503876,-1,-1,0,1,0,-1,-2,-2
1519733907503876,-2,-1,-1,-1,0,-2,-1,-2
1519733907518916,-1,-2,0,1,-1,-1,-2,-2
1519733907518916,-1,0,-1,-1,1,-1,-2,-1
1519733907525935,-1,-1,-2,1,-3,-2,1,0
1519733907525935,-1,-1,-2,0,-1,-1,-1,0
1519733907540975,-1,-1,-1,-2,0,-2,-1,0
1519733907540975,-1,-1,0,-2,-1,-1,0,-1
1519733907556014,0,-1,-1,-2,-2,-2,-1,-3
1519733907556014,0,-2,0,-1,-2,0,-1,-1
1519733907563033,-4,-2,-1,2,0,1,-1,-1
1519733907563033,-1,0,1,0,0,0,-1,0
1519733907578073,0,0,-1,-1,-1,-2,0,-2
1519733907578073,-1,-2,-1,-1,-1,-1,-1,-1
1519733907586103,1,-1,0,-3,-2,1,0,-2
1519733907586103,0,-1,-1,-3,-1,-1,-1,-1
1519733907601134,-2,0,-2,-1,-2,-1,-3,-2
1519733907601134,0,1,-3,-1,-1,-1,-1,-1
1519733907623193,0,-2,-2,-1,-1,-1,-1,-1
1519733907623193,-1,-1,-2,-2,-2,0,1,-1
1519733907631214,-2,-1,-2,0,-1,-1,0,0
1519733907631214,-1,0,-2,-1,-2,1,-1,0
1519733907646255,-1,-3,-1,-1,0,-1,-1,-1
1519733907646255,-2,0,-1,0,-1,0,-3,0
1519733907653273,1,-1,0,0,0,-2,0,-2
1519733907653273,0,0,-2,0,-2,-2,1,-2
1519733907668313,-1,-3,-2,-3,-1,-4,0,-1
1519733907668313,-2,-2,-1,-1,-2,-1,-2,0
1519733907683353,-1,-2,-2,-1,-3,-1,-2,-2
1519733907683353,-1,-2,-1,-3,0,-2,1,-1
1519733907698393,-1,-1,0,-2,-1,-1,1,-1
1519733907698393,-1,-1,-2,-1,-3,-2,-1,-1
1519733907706415,-1,-1,0,-1,0,1,-1,-1
1519733907706415,-1,-1,1,0,-2,0,-2,0
1519733907721454,0,-2,0,-1,-2,0,0,0
1519733907721454,-2,-2,-1,-1,-2,-2,-3,-1
1519733907736494,-2,-3,0,-1,-1,-1,-3,0
1519733907736494,-1,-1,-2,1,-3,-2,-2,-1
1519733907743513,-1,0,-1,0,-1,-2,-3,-1
1519733907743513,0,0,-2,-1,0,-2,1,-1
1519733907758553,0,2,-2,-3,-2,-1,1,0
1519733907758553,-2,-2,-2,-2,1,-2,-2,1
1519733907765571,-1,-1,-2,-1,-2,-1,1,-1
1519733907765571,-2,-1,-1,1,-1,1,-2,-1
1519733907780612,-3,-2,-1,-1,-1,-1,-1,0
1519733907780612,-1,0,-1,0,1,0,-1,-1
1519733907795652,-2,-2,0,-1,-1,-2,-1,-1
1519733907795652,-1,-1,-1,0,-1,1,0,-1
1519733907803673,-1,-1,-1,-3,-1,-1,-1,-2
1519733907803673,1,-2,-1,-2,-1,0,-1,-2
1519733907818725,0,0,-1,0,-3,-1,-1,-1
1519733907818725,-1,-1,-1,0,1,-1,-1,-1
1519733907825731,-2,-1,-1,-1,0,-1,0,0
1519733907825731,-2,1,0,-1,-1,-3,-1,0
1519733907840772,0,0,-3,-1,0,0,0,-1
1519733907840772,-1,-2,0,0,-1,-1,0,-1
1519733907855812,-1,-2,-1,0,-2,-1,-1,1
1519733907855812,0,0,1,0,1,-2,-1,-1
1519733907863833,-2,-2,0,-1,0,-3,0,0
1519733907863833,-2,-1,-3,0,-2,0,-1,-1
1519733907878873,-2,-3,-2,-1,-2,0,-1,-3
1519733907878873,-1,-1,0,-1,0,-2,-1,-1
1519733907885891,1,-1,-2,-1,-2,-1,-3,1
1519733907885891,-1,-1,0,-2,-3,-2,1,0
1519733907900931,-1,-2,-1,-1,-1,0,0,-3
1519733907900931,2,0,-1,-1,1,1,-2,-1
1519733907915971,-3,-1,-2,-1,-2,-3,0,-1
1519733907915971,-1,0,-1,-1,-1,-1,-2,-2
1519733907923993,1,-2,-1,1,0,-1,-2,-1
1519733907923993,-1,-1,-3,0,-2,1,-1,-2
1519733907939034,-1,0,-2,-2,0,0,0,-1
1519733907939034,0,-2,-3,-1,-3,-2,-1,1
1519733907946052,-2,-1,-2,-1,-1,-3,-1,-2
1519733907946052,-2,0,-2,-2,1,-1,-1,-1
1519733907961091,-2,-1,1,-2,-2,0,-1,1
1519733907961091,0,0,-1,-2,-1,-2,-1,0
1519733907976131,-2,-2,-1,-2,-1,0,0,-1
1519733907976131,-1,-1,-2,-3,-2,0,0,-2
1519733907983150,-1,-2,-2,0,-1,0,-1,0
1519733907983150,0,0,-2,-1,-3,0,0,0
1519733907998190,0,-1,-1,-1,-3,-1,-1,-2
1519733907998190,0,-2,0,0,0,-1,0,1
1519733908006212,-2,1,-2,-1,0,0,-1,-1
1519733908006212,-1,-1,0,0,0,1,0,-2
1519733908021251,0,-1,-2,-2,-1,-2,-1,0
1519733908021251,-1,-2,-1,-1,-1,0,1,-2
1519733908036292,0,-1,-1,0,0,0,0,-1
1519733908036292,-1,-1,-1,-1,-1,0,-1,-2
1519733908043310,-1,0,-1,-1,-2,1,0,-1
1519733908043310,-1,-1,-1,-1,-1,-3,-2,-2
1519733908058350,-1,0,1,-1,-1,-2,-3,-1
1519733908058350,-2,-3,-1,-1,0,0,-2,0
1519733908066384,-2,-3,0,0,-1,0,1,0
1519733908066384,-1,-2,-1,-1,-1,-1,-1,-1
1519733908081411,1,-1,-1,0,-1,0,-2,-1
1519733908081411,-2,0,-2,-1,-1,0,1,-2
1519733908088430,0,0,0,0,-1,0,0,-1
1519733908088430,1,-2,1,-1,1,-2,-1,-1
1519733908103470,-2,-2,0,-1,-2,-2,1,0
1519733908103470,0,-1,-1,-1,-2,-1,-2,-1
1519733908118510,-1,-2,-1,0,-1,-1,-1,-2
1519733908118510,-3,0,0,-3,-1,-1,-1,-1
1519733908125529,-2,-1,-1,-2,1,-1,-2,-1
1519733908125529,-2,-2,-3,0,0,-1,0,-1
1519733908140569,0,-1,-2,-1,0,-2,-1,0
1519733908140569,-1,-1,-2,-1,-1,-1,-2,0
1519733908148590,1,-1,-1,1,-1,0,-2,0
1519733908148590,-2,-1,-1,-2,-1,0,-1,-1
1519733908163630,-1,0,-1,0,-2,0,0,-2
1519733908163630,0,-1,-1,-1,-1,-1,-2,0
1519733908178670,-1,-2,0,-1,-2,-2,0,-1
1519733908178670,-1,0,1,0,-2,0,0,-1
1519733908185689,-3,0,-2,-3,-1,-1,-1,-2
1519733908185689,-2,-1,-2,-1,-2,0,0,-2
1519733908200730,1,0,-1,0,-1,-1,-2,-1
1519733908200730,1,-2,-1,-1,-1,-2,0,1
1519733908215769,0,0,0,-2,0,-1,1,-2
1519733908215769,-1,-1,-3,-2,0,-1,1,-2
1519733908230809,-1,-1,-1,0,-3,-2,0,0
1519733908230809,-2,-1,0,0,-2,-2,-1,-1
1519733908245848,-1,0,-1,0,-1,-2,0,-2
1519733908245848,-1,0,-2,-3,0,-1,-1,-1
1519733908253878,0,-1,-1,-1,0,0,0,1
1519733908253878,-2,-1,1,-1,-1,-3,-1,-1
1519733908268910,-2,-1,0,-1,-1,0,-1,-1
1519733908268910,-1,0,-3,-1,-3,-1,-1,1
1519733908283950,-1,-1,-1,-2,-1,0,-2,-1
1519733908283950,-2,0,-3,-2,1,0,-1,-2
1519733908298990,-1,-1,0,-2,-2,0,0,-1
1519733908298990,-2,-1,0,-1,-2,-2,-2,-1
1519733908306009,-1,-1,-2,0,-1,-1,-2,-1
1519733908306009,1,0,-1,-1,-1,1,0,0
1519733908321049,-1,-1,-3,0,-1,-1,-1,-1
1519733908321049,-1,-1,-1,0,0,-1,-1,-3
1519733908328067,-2,-1,-1,0,-1,-3,-2,-1
1519733908328067,-1,0,0,1,-1,-2,0,0
1519733908343108,-1,-2,-2,-1,-1,0,-1,-1
1519733908343108,-1,-2,0,-2,-1,-2,-1,-1
1519733908358147,-1,-2,-1,-1,-3,1,-2,-1
1519733908358147,-2,0,-1,-1,0,-1,0,0
1519733908366169,-2,-1,-3,0,-1,0,-1,-1
1519733908366169,0,1,-2,1,-1,0,-2,0
1519733908381209,-1,-1,0,-1,-3,-1,-2,0
1519733908381209,0,0,-1,-2,-1,-1,0,-1
1519733908388227,0,-1,0,-2,-1,0,-1,-2
1519733908388227,-1,-2,-2,-2,-1,-1,0,-1
1519733908403268,-1,-1,0,0,0,-1,-1,-1
1519733908403268,-1,-1,-1,-1,-1,-1,-2,1
1519733908418307,0,-1,-1,0,1,-1,-3,-1
1519733908418307,-1,-2,-2,1,-2,0,-1,0
1519733908426328,0,1,-1,-2,-1,-1,0,1
1519733908426328,-1,-1,0,-1,0,-1,0,0
1519733908441369,-2,0,-1,0,0,-2,0,-1
1519733908441369,-1,-1,-1,1,-1,-2,0,-2
1519733908448387,0,-1,0,0,-2,-2,-1,-1
1519733908448387,-1,-1,-1,0,-1,1,0,-1
1519733908463427,-2,-2,-2,0,-1,0,0,0
1519733908463427,-1,-3,0,-1,1,-1,0,-2
1519733908478467,0,-1,0,-1,0,0,1,-1
1519733908478467,-1,0,-3,-2,-1,0,-2,-1
1519733908486489,-2,-1,-2,-1,-1,0,0,-2
1519733908486489,1,-1,0,-2,-2,-2,-1,0
1519733908501541,0,-1,-2,1,0,-2,0,-1
1519733908501541,-1,-2,0,-1,-3,-1,-1,0
1519733908508547,0,1,-1,-1,0,0,-2,-2
1519733908508547,-2,-3,-1,-1,-1,-2,-1,-3
1519733908523587,-1,0,1,-2,0,-1,0,0
